Question,Option 1,Option 2,Option 3,Option 4,Option 5,Current Answer,Explanation,Categories,Type,Attachments,Points,Hint 1
What is the name of the following painting by Norwegian artist Edvard Munch?,,,,,,The Scream,,Arts & Literature,Single Choice w/ Media,https://img.buzzfeed.com/buzzfeed-static/static/2024-10/12/4/asset/7c57ab7c6338/sub-buzz-3519-1728705769-1.jpg?downsize=600:*&output-format=auto&output-quality=auto,2,The title describes the sound the figure seems to be making.
What do clouds consist of? ,liquid droplets,smoke,cotton candy,ozone,,Liquid Droplets,,Biology,Multiple Choice,,2,
Which is a part of a camera?,Ablative,Objective,Initiative,Narrative,,Objective,,General Science,Multiple Choice,,2,
What country is located immediately north of Vietnam? ,Laos,Malaysia,Burma,China,,China,,Geography,Multiple Choice,,2,
What is the boundary between two tectonic plates where they are moving away from each other called?,Convergent boundary,Transform boundary,Divergent boundary,Subduction boundary,,Divergent Boundary,"At divergent plate boundaries, tectonic plates pull apart from each other, a process that frequently forms mid-ocean ridges and rift valleys.",Geology,Multiple Choice,,2,
What is the estimated age of the Earth based on radiometric dating?,4.6 billion years,2.5 billion years,541 million years,13.8 billion years,,4.6 billion years,"Radiometric dating of Earth's oldest rocks, lunar samples, and meteorites indicates that the Earth formed approximately 4.6 billion years",Geology,Multiple Choice,,2,
How thick is the crust of the Earth?,about 4 miles,about 4 km,about 40 km,about 400 km,,about 40 km,"According to geological data provided by sources like National Geographic and Britannica, the Earth's continental crust has a mean thickness of about 40 kilometers (approximately 25 miles). While the exact thickness of the crust varies considerably depending on the location, 40 km serves as a highly accurate baseline representation for the landmasses we live on.",Geology,Multiple Choice,,2,
The terms crust and lithosphere are synonymous.,TRUE,FALSE,,,,FALSE,"The crust refers specifically to Earth's outermost chemical layer. The lithosphere is a mechanical layer that includes both the entire crust and the solid, rigid uppermost part of the mantle.",Geology,Multiple Choice,,2,
What did Alfred Nobel invent? ,Dynamite,computers,helicopter,morse code,,Dynamite,,History,Multiple Choice,,2,
Which European is credited with discovering America? ,Polo,Pizarro,Vespucci,Columbus,,Columbus,,History,Multiple Choice,,2,
Edo is the former name of which world capital? ,Bangkok,Beijing,Sydney,Tokyo,,Tokyo,,"History, Geography",Multiple Choice,,2,
Which of the following is NOT an official language of Switzerland?,German, Italian,Spanish,,,Spanish,,Language,Multiple Choice,,2,
"Wedding and relationships anniversary milestone labels are often called Anniversary Themes, Gift Years, or Anniversary Seals/Stickers. What is the traditional theme for the 5th year? ",Tin/Aluminum,Crystal,Gold,Wood,,5th: Wood,,Language,Multiple Choice,,2,
Magyar is the main language spoken in which country?,Hungary,Poland,Norway,Malaysia,,Hungary,,Language,Multiple Choice,,2,
"Which word is a verb in the following sentence? Although she was tired, Maria ran the entire marathon.", Although, tired, entire, ran,,ran ,Ran is the action she performed.,Language,Multiple Choice,,2,
Which word is an adjective in the following sentence? The clever detective quickly found the hidden clues., detective, cleverly, clever, quickly,,clever ,"Clever describes the noun, ""detective"".",Language,Multiple Choice,,2,
Which word acts as an adverb in the following sentence? He spoke loudly during the presentation., He, spoke, loudly, during,,loudly ,"Loudly describes how he ""spoke"".",Language,Multiple Choice,,2,
Choose the correct preposition for a date in Canada:,"I will arrive on Monday, February 1st.","I will arrive on Monday, in February 1st.","I will arrive on Monday, at February 1st.","I will arrive on Monday, on February 1st.",,"I will arrive on Monday, February 1st.",The standard format for writing out a full date is Month + Day,Language,Multiple Choice,,2,
Which sentence is punctuated correctly?,"""I need to buy milk, bread and eggs,"" she said.","""I need to buy milk, bread, and eggs"" she said.","""I need to buy milk, bread, and eggs,"" she said.","""I need to buy milk, bread and eggs"" she said,",,"""I need to buy milk, bread, and eggs,"" she said.","Commas and periods go inside the quotation marks, and a comma separates the quote from the dialogue tag",Language,Multiple Choice,,2,
The -re/-er Rule. Which of the following sentences uses the correct Canadian spelling?, We are going to see a play at the new theater.,I need to buy a new meter for my electricity.,She works as a fibre optic technician.,The firemen arrived to put out the flame.,,She works as a fibre optic technician.,"Canadian English retains the British ""-re"" ending for words like fibre and centre,",Language,Multiple Choice,,2,
Which of the following is the defining characteristic of a true acronym?," It is formed by taking the first letters of a phrase and pronouncing it as a single word (e.g., NASA)"," It is formed by speaking the individual letters out loud (e.g., FBI)."," It is a shortened form of a word or phrase, regardless of how it is pronounced.", It must contain at least five syllables.,," It is formed by taking the first letters of a phrase and pronouncing it as a single word (e.g., NASA)","True acronyms are pronounced as a single word, unlike initialisms.",Language,Multiple Choice,,2,
"While ""FBI"" is spoken as individual letters (F-B-I), ""NASA"" is pronounced as one word. What is the linguistic term for an abbreviation like FBI?", Acronym, Initialism, Contraction, Portmanteau,,Initialism,Initialisms are abbreviations where you say each letter.,Language,Multiple Choice,,2,
"The word ""etc."" is a shortened form of the Latin phrase et cetera. Which category does it fall under?", Acronym, Initialism, Abbreviation, Blend,,Abbreviation,"It is a shortened written form, not pronounced as a new word or spelled out letter-by-letter.",Language,Multiple Choice,,2,
"Why is the line between acronyms and initialisms sometimes considered ""blurry""?", Because linguists cannot agree on their definitions.," Because some terms are spoken both as individual letters and as a single word depending on the speaker (e.g., GIF or SQL).", Because both terms refer to combinations of two or more independent words., Because initialisms are always longer than acronyms.,,"Because some terms are spoken both as individual letters and as a single word depending on the speaker (e.g., GIF or SQL). ",The pronunciation of terms like GIF or SQL often sparks debate on whether they should be categorized as initialisms or acronyms.),Language,Multiple Choice,,2,
"What term is used for a blend of two words that is also shortened (e.g., smog from smoke and fog, or motel from motor and hotel)?", Initialism, Acronym, Clipping, Portmanteau,,Portmanteau,Portmanteaus blend the sounds and meanings of two distinct words.,Language,Multiple Choice,,2,
 Which value is measured in ohms?,Voltage,Amperage,Resistance,Capacitance,,Resistance,,Physics,Multiple Choice,,2,
What is measured in watts?, Volume,power,density, radioactivity,,power,,"Physics, General Science",Multiple Choice,,2,
Which part of the UK held a 2014 referendum on independence? ,Wales,Scotland,Northern Ireland,Yorkshire,,Scotland,,Politics/Laws,Multiple Choice,,2,
What is the Magna Carta? ,Bill that makes it mandatory to put signs in only French,A breach of contract in which the injured party seeks compensation,The charter that limited the King’s ruling power and made all rulers subject to the law,"Laws developed by Napoleon Bonaparte from Justinian Law, a Statue",,The charter that limited the King’s ruling power and made all rulers subject to the law,,Politics/Laws,Multiple Choice,,2,
"When was the Charter of Rights and Freedoms signed? 
",3800 years ago,1984,1982,2001,,1984,,Politics/Laws,Multiple Choice,,2,
"This area of civil law is all about ""actionable wrongs."" It deals with holding people financially accountable when their careless actions—or intentional bad behavior—cause harm to others, without needing an actual contract to be in place. What is this law called?",,,,,,Tort Law,,Politics/Laws,Multiple Choice,,2,
"What is the definition of entrenched? 
",A provision making a law valid even though it contradicts some other law,Putting off to another time,Wrongfully accusing an innocent person,A right that can only be changed by an amendment to the Constitution,Not telling the truth while in court,A right that can only be changed by an amendment to the Constitution,,Politics/Laws,Multiple Choice,,2,
What is the most holy city of the Hindus? ,Madras,Calcutta,Allahabad,Varanasi,,Varansi,,Religion & Mythology,Multiple Choice,,2,
Which planet in our solar system has the most moons?, Jupiter, Saturn, Uranus, Neptune ,,Saturn,Saturn currently holds the record with 146 known moons,Space,Multiple Choice,,2,
Which planet in our solar system is the hottest?, Mercury, Venus, Mars, Jupiter,,Venus,"Thanks to its thick, heat-trapping atmosphere, Venus is hotter than Mercury",Space,Multiple Choice,,2,
How long does it take for light from our Sun to reach Earth?, About 8 minutes, Exactly 24 hours, 3 days, 1 year,, About 8 minutes,"Light travels incredibly fast, making the roughly 93 million-mile journey in about 8 minutes and 20 seconds",Space,Multiple Choice,,2,
