Question,Option 1,Option 2,Option 3,Option 4,Option 5,Current Answer,Categories,Type,Question Attachments,Points,Hint 1,Option 1 Attachment,Option 2 Attachment,Option 3 Attachment,Option 4 Attachment,Option 5 Attachment,Explanation,question timer delay by secs
What is the tallest mountain on Earth above sea level?,,,,,,Mount Everest,Geography,Single Choice,,2,It sits in the Himalayas on the Nepal–China border.,,,,,,,
What is the largest planet in our solar system?,,,,,,Jupiter,Space,Single Choice,,1,,,,,,,,
Who painted the ceiling of the Sistine Chapel?,,,,,,Michelangelo,"Arts & Literature, History",Single Choice,,3,,,,,,,He spent roughly four years (1508–1512) painting the frescoes.,
Which gas makes up the majority of Earth's atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,,Nitrogen,"General Science, Chemistry",Multiple Choice,,2,,,,,,,Nitrogen makes up about 78% of the air we breathe.,
Which ocean is the largest by surface area?,Pacific Ocean,Atlantic Ocean,,,,Pacific Ocean,Geography,Multiple Choice,,1,,,,,,,,
Which of these is a primary color of light?,Green,Yellow,Brown,Pink,Orange,Green,Physics,Multiple Choice,,2,Think of the R-G-B channels on a screen.,,,,,,"Green is one of the three additive primary colors of light — red, green, and blue (RGB). Combined at full intensity they make white light, and mixing them in pairs makes the secondary colors: red + green = yellow, green + blue = cyan, red + blue = magenta.",
"Complete the saying: ""A penny saved is a penny ___.""",spent,earned,lost,found,,earned,Language,Multiple Choice,,1,,,,,,,,
True or False: The Great Wall of China is visible from space with the naked eye.,,,,,,FALSE,"Geography, History",True or False,,2,,,,,,,It is far too narrow to be seen unaided from orbit.,
True or False: Honey never spoils when stored properly.,,,,,,TRUE,"Biology, Chemistry",True or False,,2,,,,,,,Archaeologists have found pots of edible honey in ancient Egyptian tombs.,
What famous landmark is shown in this image?,,,,,,Eiffel Tower,"Geography, Arts & Literature",Single Choice,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Tour_Eiffel_Wikimedia_Commons_%28cropped%29.jpg/500px-Tour_Eiffel_Wikimedia_Commons_%28cropped%29.jpg,2,It was built for the 1889 World’s Fair in Paris.,,,,,,,
This was the very first video ever uploaded to YouTube. What is its title?,,,,,,Me at the zoo,"Technology, Meme/Trends",Single Choice,https://www.youtube.com/watch?v=jNQXAC9IVRw,2,,,,,,,Uploaded by co-founder Jawed Karim on April 23 2005.,
Name this 2012 viral music video and dance craze by South Korean artist PSY.,,,,,,Gangnam Style,Meme/Trends,Single Choice,https://youtu.be/9bZkp7q19f0,2,It was the first video to reach one billion views on YouTube.,,,,,,,
Name this open-source animated short film from its footage.,,,,,,Big Buck Bunny,"Arts & Literature, Technology",Single Choice,https://www.w3schools.com/html/mov_bbb.mp4,2,A large rabbit is the main character.,,,,,,Released in 2008 by the Blender Foundation.,
Audio playback test — which file format is this attachment?,,,,,,MP3,Technology,Single Choice,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-1.mp3,1,,,,,,,,
Which country does the flag shown above belong to?,Japan,China,South Korea,Thailand,,Japan,Geography,Multiple Choice,https://flagcdn.com/w320/jp.png,2,It is known as the Land of the Rising Sun.,,,,,,,
Which of these is the flag of Canada?,Japan,Canada,Brazil,France,,Canada,Geography,Multiple Choice,,2,,https://flagcdn.com/w320/jp.png,https://flagcdn.com/w320/ca.png,https://flagcdn.com/w320/br.png,https://flagcdn.com/w320/fr.png,,Canada’s maple-leaf flag was adopted in 1965.,
"True or False: the structure shown above is located in Paris, France.",,,,,,TRUE,"Geography, Arts & Literature",True or False,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Tour_Eiffel_Wikimedia_Commons_%28cropped%29.jpg/500px-Tour_Eiffel_Wikimedia_Commons_%28cropped%29.jpg,1,,,,,,,It is the Eiffel Tower on the Champ de Mars in Paris.,
"Riddle: I have cities but no houses, forests but no trees, and rivers but no water. What am I?",,,,,,A map,Riddles,Single Choice,,2,You use it to find your way.,,,,,,,8
Which is the smallest prime number?,0,1,2,3,,2,General Science,Multiple Choice,,2,It is the only even one.,,,,,,,"
"
