Question,Option 1,Option 2,Option 3,Option 4,Option 5,Current Answer,Explanation,Categories,Type,Attachments,Points,Hint 1,question timer delay by secs
Which has the thickest fur of any mammal?,,,,,,Sea Otter,,Animal,Single Choice,,2,Look to a kelp-forest swimmer that floats on its back.,
A newborn kangaroo is about the size of a … ?,,,,,,Grape,,Animal,Single Choice,,2,Small enough to fit on a teaspoon at birth.,
What land animal has the most powerful bite?,,,,,,Hippopotamus,,Animal,Single Choice,,2,This semi-aquatic African giant is far more aggressive than it looks.,
Where is the only place on their body dogs have sweat glands?,,,,,,The pads of their paws,,Animal,Single Choice,,2,Check the part of them that touches the ground.,
What is a male duck called?,,,,,,Drake,,Animal,Single Choice,,2,Shares a name with a chart-topping Canadian rapper.,
What is a baby hedgehog called?,,,,,,Hoglet,,Animal,Single Choice,,2,A playful twist on the spiky adult's name.,
What percentage of baby animals are raised by both parents?,,,,,,3%,,Animal,Single Choice,,2,It's a single-digit percentage — closer to 3 than 30.,
How many legs does a lobster have?,,,,,,10,,Animal,Single Choice,,2,"The same count as a crab, claws included.",
What is a polar bear’s skin color?,,,,,,Black,,Animal,Single Choice,,2,It's the opposite shade of what the fur suggests.,
What is a female donkey called?,,,,,,Jenny,,Animal,Single Choice,,2,Also a common nickname for Jennifer.,
What is the only big cat that doesn’t roar?,,,,,,Cheetah,,Animal,Single Choice,,2,The world's fastest sprinter can only purr and chirp.,
How many heart chambers does a cockroach have?,,,,,,13,,Animal,Single Choice,,2,"More than a dozen, unlike our single one.",
What does a snake use to taste and smell?,,,,,,The roof of its mouth,,Animal,Single Choice,,2,It flicks its tongue toward a special sensing organ up top.,
What is the main reason frogs croak?,,,,,,To attract a mate,,Animal,Single Choice,,2,It's all about romance during breeding season.,
What is the process of a caterpillar turning into a butterfly called?,,,,,,Metamorphosis,,"Animal, Biology",Single Choice,,2,From Greek roots meaning 'change of shape'.,
What is a baby goat called?,,,,,,Kid,,"Animal, Biology, Language",Single Choice,,2,You might call a human child the same thing.,
What is a group of crows called?,,,,,,Murder,,"Animal, Biology, Language",Single Choice,,2,The collective term sounds like a serious crime.,
What is the name of the following painting by Norwegian artist Edvard Munch?,,,,,,The Scream,,Arts & Literature,Single Choice w/ Media,https://img.buzzfeed.com/buzzfeed-static/static/2024-10/12/4/asset/7c57ab7c6338/sub-buzz-3519-1728705769-1.jpg?downsize=600:*&output-format=auto&output-quality=auto,2,The title describes the sound the figure seems to be making.,
"Mark Twain is the pseudonym of what famous American author who wrote ""The Adventures of Huckleberry Finn""?",,,,,,Samuel Clemens,,Arts & Literature,Single Choice,,2,He took his pen name from a riverboat depth call.,5
Canucks is a slang name for people from which country?,,,,,,Canada,,Arts & Literature,Single Choice,,2,Think just north of the U.S. border.,
